CustomerID,MerchantName,TransactionRank,TransactionRedeemedPoints,TransactionValue,TransactionFrom(days),CustomerLastTransactionFrom(days)
1,Grill Emperor,1,4427,442.7,281,281
2,Threads Royale,1,2490,249,34,34
3,Cakeland,1,3000,300,236,236
4,Threads Royale,1,1620,162,320,320
5,Quick Stop,1,700,70,407,407
6,Marketplace Central,1,1536,153.6,23,23
7,Threads Royale,1,2700,270,195,195
8,Family Grocers,1,2388,238.8,300,300
9,Marketplace Central,1,1860,186,141,137
9,Marketplace Central,2,8000,800,137,137
10,Marketplace Central,1,1030,103,269,269
11,Marketplace Central,1,2157,215.7,243,20
11,Marketplace Central,2,2800,280,111,20
11,Marketplace Central,3,1580,158,74,20
11,Marketplace Central,4,1180,118,20,20
11,Threads Royale,1,3980,398,321,20
12,Marketplace Central,1,3293,329.3,297,297
13,Marketplace Central,1,1820,182,239,239
14,Marketplace Central,1,2560,256,255,20
14,Marketplace Central,2,2500,250,155,20
14,Marketplace Central,3,3370,337,20,20
14,Aroma Beans,1,3816,381.6,308,20
15,Zest Market,1,1796,179.6,441,441
15,Zest Market,2,1796,179.6,441,441
16,Marketplace Central,1,1420,142,201,201
17,Marketplace Central,1,7860,786,15,15
18,Marketplace Central,1,2080,208,48,48
19,Grill Emperor,1,3540,354,272,102
19,Herbal Wellness,1,2460,246,102,102
20,Threads Royale,1,2190,219,253,253
21,ClearSight Optics,1,7400,740,319,319
22,Cakeland,1,3400,340,197,197
23,Marketplace Central,1,9845,984.5,159,159
24,Marketplace Central,1,3560,356,61,61
25,Family Grocers,1,3500,350,261,258
25,Family Grocers,2,3500,350,258,258
26,Marketplace Central,1,2050,205,272,20
26,Marketplace Central,2,997,99.7,20,20
27,Marketplace Central,1,2020,202,276,48
27,Marketplace Central,2,860,86,48,48
28,Marketplace Central,1,2180,218,270,270
29,Marketplace Central,1,2100,210,299,299
30,Nuts & Seeds Co.,1,1100,110,250,27
30,Nuts & Seeds Co.,2,510,51,27,27
31,Smokehouse Grill,1,1680,168,399,399
32,Marketplace Central,1,2460,246,138,138
33,Peppers Diner,1,2100,210,262,262
34,Grill Emperor,1,1760,176,421,421
35,Marketplace Central,1,3300,330,88,88
36,Marketplace Central,1,4540,454,71,34
36,Marketplace Central,2,10660,1066,70,34
36,Marketplace Central,3,1860,186,34,34
37,Threads Royale,1,1500,150,20,20
38,Quick Stop,1,1420,142,326,326
39,Family Grocers,1,1967,196.7,225,225
40,Cakeland,1,2300,230,68,68
41,Marketplace Central,1,4000,400,263,263
42,Nuts & Seeds Co.,1,2040,204,238,238
43,Marketplace Central,1,2780,278,47,47
44,Quick Stop,1,3400,340,112,112
45,Smokehouse Grill,1,1620,162,10,10
46,Marketplace Central,1,1840,184,173,173
47,Family Grocers,1,4687,468.7,259,259
48,Marketplace Central,1,2000,200,17,17
49,Threads Royale,1,3360,336,36,36
50,Marketplace Central,1,3620,362,195,52
50,Threads Royale,1,5440,544,52,52
51,Marketplace Central,1,3800,380,133,133
52,Marketplace Central,1,1940,194,150,150
53,Herbal Wellness,1,3820,382,117,117
54,Marketplace Central,1,1900,190,79,79
55,Marketplace Central,1,1180,118,187,187
56,Marketplace Central,1,2180,218,8,8
57,Marketplace Central,1,9860,986,178,178
58,Family Grocers,1,1947,194.7,271,271
59,Marketplace Central,1,3900,390,53,53
60,Family Grocers,1,1600,160,311,311
61,Family Grocers,1,2920,292,111,111
62,Family Grocers,1,7669,766.9,266,266
63,Aroma Beans,1,2500,250,297,297
64,Zest Market,1,855,85.5,12,12
65,Threads Royale,1,2660,266,173,173
66,Grill Emperor,1,740,74,6,6
67,Grill Emperor,1,1500,150,291,291
68,Zanobia Textiles,1,1540,154,27,27
69,Marketplace Central,1,5200,520,161,72
69,Marketplace Central,2,1360,136,72,72
70,Zest Market,1,2500,250,42,42
71,Grill Emperor,1,2100,210,205,205
72,Marketplace Central,1,1944,194.4,88,88
73,Threads Royale,1,1640,164,336,11
73,Threads Royale,2,1260,126,11,11
